#{"t_start": 1637834842.1779103, "env_id": "Acrobot-v1"}
r,l,t
-70.0,71,328.474919
-88.0,89,328.939639
-71.0,72,330.1836
-87.0,88,330.641982
-75.0,76,331.467062
-500.0,500,335.675149
-90.0,91,336.619215
-115.0,116,338.02616
-70.0,71,338.392623
-86.0,87,339.663115
-63.0,64,340.026259
-73.0,74,340.424972
-223.0,224,342.859932
-92.0,93,343.33805
-73.0,74,344.528214
-61.0,62,344.847801
-69.0,70,345.214363
-92.0,93,345.703125
-84.0,85,346.957968
-70.0,71,347.329198
-70.0,71,348.096573
-163.0,164,349.947519
-62.0,63,350.279465
-75.0,76,351.550591
-63.0,64,351.88012
-76.0,77,352.281316
-89.0,90,352.752614
-62.0,63,353.889919
-79.0,80,354.801448
-81.0,82,355.226138
-123.0,124,356.678982
-69.0,70,357.044906
-97.0,98,357.558785
-63.0,64,358.731036
-84.0,85,359.186064
-62.0,63,359.948062
-73.0,74,361.154633
-70.0,71,361.521735
-88.0,89,362.006981
-62.0,63,362.333744
-62.0,63,363.467086
-90.0,91,363.935974
-78.0,79,364.344749
-74.0,75,365.969074
-70.0,71,366.335788
-62.0,63,366.656158
-86.0,87,367.910683
-63.0,64,368.244052
-70.0,71,368.608408
-72.0,73,368.983084
-70.0,71,370.157027
-70.0,71,370.525757
-226.0,227,373.078562
-94.0,95,373.572323
-94.0,95,374.868248
-76.0,77,375.260363
-63.0,64,375.606328
-87.0,88,376.064066
-61.0,62,377.668206
-105.0,106,378.2643
-108.0,109,378.825669
-63.0,64,379.957586
-81.0,82,380.38625
-78.0,79,380.789744
-89.0,90,382.049452
-73.0,74,382.945422
-87.0,88,383.39884
-87.0,88,384.656259
-63.0,64,384.987561
-79.0,80,385.411151
-63.0,64,386.571263
-91.0,92,387.096631
-70.0,71,387.465823
-80.0,81,388.338862
-88.0,89,389.612539
-77.0,78,390.017536
-88.0,89,390.487602
-62.0,63,391.642257
-82.0,83,392.080137
-62.0,63,392.412576
-63.0,64,393.6002
-70.0,71,393.971476
-70.0,71,394.76756
-70.0,71,395.202118
-76.0,77,396.626492
-120.0,121,397.385853
-76.0,77,397.866915
-71.0,72,399.160801
-168.0,169,400.437199
-71.0,72,401.598501
-71.0,72,401.972672
-71.0,72,402.343702
-74.0,75,403.515875
-63.0,64,403.842962
-71.0,72,404.211663
-89.0,90,404.703447
-81.0,82,405.927572
-75.0,76,406.694902
-63.0,64,407.024795
-62.0,63,408.139247
-62.0,63,408.464023
-63.0,64,408.796935
-88.0,89,409.281116
-76.0,77,410.472745
-71.0,72,410.846463
-71.0,72,411.637689
-62.0,63,411.967774
-103.0,104,413.288818
-91.0,92,413.757257
-71.0,72,414.968624
-87.0,88,415.433151
-80.0,81,415.853598
-71.0,72,416.225169
-70.0,71,417.78166
-63.0,64,418.122152
-83.0,84,418.572859
-74.0,75,419.748063
-70.0,71,420.116456
-62.0,63,420.478456
-70.0,71,420.858549
-62.0,63,421.978107
-113.0,114,423.027561
-85.0,86,423.468115
-74.0,75,424.64519
-78.0,79,425.095893
-72.0,73,425.484142
-77.0,78,426.673983
-97.0,98,427.174577
-88.0,89,427.632451
-70.0,71,429.205919
-186.0,187,430.166308
-85.0,86,431.446944
-75.0,76,431.842987
-75.0,76,432.231253
-71.0,72,433.395011
-79.0,80,433.801027
-72.0,73,434.567345
-71.0,72,434.935979
-70.0,71,436.141547
-68.0,69,436.560862
-70.0,71,436.973075
-75.0,76,438.167824
-63.0,64,438.4965
-82.0,83,438.923156
-70.0,71,439.672329
-62.0,63,441.0033
-62.0,63,441.395501
-118.0,119,442.052813
-70.0,71,443.237192
-74.0,75,443.626014
-70.0,71,443.997774
-80.0,81,445.217888
-70.0,71,445.975433
-70.0,71,446.346953
-83.0,84,446.826547
-62.0,63,448.086281
-64.0,65,448.491215
-61.0,62,448.876588
-70.0,71,449.32414
-69.0,70,450.640805
-70.0,71,451.013278
-70.0,71,451.77007
-111.0,112,453.133068
-63.0,64,453.455991
-73.0,74,453.839272
-70.0,71,455.048005
-70.0,71,455.427616
-86.0,87,455.885499
-94.0,95,457.217065
-81.0,82,458.101231
-69.0,70,458.478778
-77.0,78,458.890947
-62.0,63,460.012248
-69.0,70,460.377702
-75.0,76,460.768317
-88.0,89,462.015791
-71.0,72,462.388996
-72.0,73,463.208842
-74.0,75,463.597787
-75.0,76,464.773396
-70.0,71,465.139608
-62.0,63,465.469989
-139.0,140,466.991309
-71.0,72,467.370753
-62.0,63,467.714051
-69.0,70,469.290241
-89.0,90,469.752624
-92.0,93,470.235265
-70.0,71,471.406116
-70.0,71,471.776459
-75.0,76,472.166664
-89.0,90,473.415161
-71.0,72,473.783986
-169.0,170,475.065864
-94.0,95,476.355897
-63.0,64,476.684364
-63.0,64,477.017488
-71.0,72,478.198351
-84.0,85,478.645044
-87.0,88,479.104076
-72.0,73,480.653164
-94.0,95,481.145908
-70.0,71,481.515944
-69.0,70,482.666691
-62.0,63,482.991643
-70.0,71,483.357654
-76.0,77,483.753999
-72.0,73,484.915895
-71.0,72,485.291567
-239.0,240,487.723746
-62.0,63,488.045817
-62.0,63,488.371073
-70.0,71,489.521602
-63.0,64,489.850575
-72.0,73,490.28377
-106.0,107,492.007446
-123.0,124,492.649081
-70.0,71,493.025012
-105.0,106,494.426486
-71.0,72,494.797974
-63.0,64,495.129931
-73.0,74,496.306941
-75.0,76,497.108762
-70.0,71,497.475842
-75.0,76,497.867358
-70.0,71,499.017488
-77.0,78,499.415549
-76.0,77,499.815748
-78.0,79,501.002799
-70.0,71,501.36849
-63.0,64,501.694955
-73.0,74,502.512599
-228.0,229,504.466368
-71.0,72,505.675731
-71.0,72,506.047953
-62.0,63,506.379044
-71.0,72,506.747926
-75.0,76,508.461231
-74.0,75,508.879063
-70.0,71,509.271593
-71.0,72,510.462497
-71.0,72,510.84182
-74.0,75,511.236794
-78.0,79,511.646298
-92.0,93,512.904837
-84.0,85,513.723035
-70.0,71,514.083851
-71.0,72,515.239755
-84.0,85,515.690267
-87.0,88,516.175885
-89.0,90,517.46334
-75.0,76,517.855303
-83.0,84,518.292447
-94.0,95,519.97536
-103.0,104,520.513911
-63.0,64,520.840522
-70.0,71,521.986771
-63.0,64,522.313358
-73.0,74,522.691026
-88.0,89,523.940217
-83.0,84,524.3707
-87.0,88,525.365513
-63.0,64,525.696821
-83.0,84,526.959981
-62.0,63,527.295805
-115.0,116,527.897313
-88.0,89,529.167092
-93.0,94,529.656054
-88.0,89,531.342293
-87.0,88,531.795669
-66.0,67,532.143428
-74.0,75,532.531174
-63.0,64,533.827453
-93.0,94,534.412486
-79.0,80,534.898607
-62.0,63,536.022586
-74.0,75,536.78805
-85.0,86,537.225463
-63.0,64,538.407167
-70.0,71,538.766111
-63.0,64,539.098943
-71.0,72,539.464527
-62.0,63,540.607829
-93.0,94,541.087309
-70.0,71,541.447123
-74.0,75,542.980479
-71.0,72,543.346252
-69.0,70,543.7005
-62.0,63,544.023399
-75.0,76,545.199598
-62.0,63,545.524607
-71.0,72,545.890147
-62.0,63,546.208504
-74.0,75,547.384007
-71.0,72,548.140616
-69.0,70,548.496391
-63.0,64,548.82145
-142.0,143,550.334628
-87.0,88,550.785489
-63.0,64,551.901454
-101.0,102,552.424206
-89.0,90,553.290424
-70.0,71,554.456591
-72.0,73,554.831331
-71.0,72,555.204265
-72.0,73,556.371094
-63.0,64,556.69856
-63.0,64,557.024927
-62.0,63,557.347377
-62.0,63,557.672037
-81.0,82,559.298125
-71.0,72,559.665399
-70.0,71,560.029166
